Order #,Company #,Company Name,Order Name,Total,Number of Pieces,Ordered Date,Ship Date,Status,Product #,Product Name,Qty,Line Subtotal
71331,315,Vision Woodworks Inc,quartesawn white oak butcher clock,1075.1,2,2021-11-29,2022-02-04,shipped,132,Butcher Block,2,1075.1
71465,346,Mission Valley Finish and Woodworking,Seguino Top Add On BUTCHER BLOCK,938.46,2,2021-11-29,2022-01-05,shipped,132,Butcher Block,2,938.46
72187,346,Mission Valley Finish and Woodworking,Marcy Clark BUTCHER BLOCK (72162),541.26,3,2021-12-16,2022-01-24,shipped,132,Butcher Block,3,541.26
